
Using same metrics to the hospital ranking, I created the rankings for states. Computation was to aggregate the hospital ratings for each state.

State   Avg Timely/Effective    Avg Survey  		Avg Readmission   	Avg Mortality   	Avg Total
SD      0.6169788212781706      0.905009717934584       0.8052156436270063      0.09126107449088189     2.4184652573306424
WI      0.5460278573276218      0.6693405216344708      0.41705887222721744     0.03628812564385649     1.668715376833167
ME      0.4416223618001444      0.37093414126133495     0.6409013801037764      0.07925017810413686     1.5327080612693924
MT      0.9024221248324885      0.2648754137507913      0.7601617326609592      -0.5212946412331153     1.4061646300111237
ID      0.4624865594712302      0.30465534195838345     1.1240587058482612      -0.5998274253002942     1.29137318197758
NH      0.7898098572854326      0.16703829302401083     0.08435306817025622     0.22476680740508642     1.265968025884786
IN      0.3611542830570448      0.45860352802895527     0.3238801897618978      0.06670715339645997     1.210345154244358
KS      0.4844356156467345      0.6346234933805724      0.2993830977809346      -0.2196573569750864     1.198784849833155
NE      0.5152645977769977      0.43259619213955797     0.42225740041560794     -0.2660630930147832     1.1040550973173804
CO      0.4148311953746132      0.2776097691469755      0.5048562371866931      -0.11292416408378389    1.0843730376244989
Time taken: 47.744 seconds, Fetched: 10 row(s)
